,cluster,latitude,longitude,supply
151,9512,37.2863,-121.92925,49.0
152,9520,37.96183333333334,-121.30486666666667,56.0
153,9535,37.67626666666666,-120.9975,105.0
154,9537,37.9957,-120.3368,3.0
155,9540,38.4604,-122.71000000000001,37.0
156,9560,38.76565,-121.19784999999999,69.0
157,9565,38.5579,-121.291,4.0
158,9566,38.72705,-121.01929999999999,38.0
159,9568,38.3847,-121.9887,18.0
160,9581,38.563633333333335,-121.45413333333333,128.0
161,9582,38.53445,-121.42474999999999,70.0
162,9592,39.7458,-121.8444,28.0
163,9594,39.2081,-121.0069,4.0
164,9600,40.5605,-122.4116,51.0
165,9615,38.917,-119.9865,1.0
166,8001,39.6987,-104.8377,31.0
167,8002,39.97995,-105.05555,15.0
168,8003,39.774,-105.0962,23.0
169,8004,39.7467,-104.8384,73.0
170,8011,39.6405,-104.9614,60.0
171,8012,39.5576,-104.95096666666666,29.0
172,8013,39.5102,-104.7216,17.0
173,8020,39.734,-105.0259,57.0
174,8021,39.7327,-104.9717,6.0
175,8022,39.76236666666667,-104.9972,56.0
176,8030,39.9914,-105.2392,9.0
177,8052,40.5986,-105.0581,8.0
178,8053,40.4262,-105.09,32.0
179,8060,39.943,-104.7866,6.0
